City,Churn Label,Latitude,Longitude,Count
Acampo,Yes,38.200231,-121.235034,3
Acampo,No,38.200231,-121.235034,1
Acton,No,34.501452,-118.207862,4
Adelanto,No,34.667815,-117.536183,4
Adelanto,Yes,34.667815,-117.536183,1
Adin,No,41.171578,-120.913161,2
Adin,Yes,41.171578,-120.913161,2
Agoura Hills,No,34.129058,-118.759788,3
Agoura Hills,Yes,34.129058,-118.759788,2
Aguanga,No,33.482243,-116.827173,3
Aguanga,Yes,33.482243,-116.827173,1
Ahwahnee,No,37.375816,-119.739935,3
Ahwahnee,Yes,37.375816,-119.739935,1
Alameda,No,37.724817,-122.224363,4
Alameda,No,37.774633,-122.274434,4
Alamo,No,37.855717,-121.994813,4
Albany,No,37.890274,-122.295192,2
Albany,Yes,37.890274,-122.295192,2
Albion,No,39.225694,-123.717354,4
Alderpoint,No,40.166028,-123.584144,3
Alderpoint,Yes,40.166028,-123.584144,1
Alhambra,No,34.074736,-118.145959,3
Alhambra,No,34.090925,-118.128164,3
Alhambra,Yes,34.074736,-118.145959,2
Alhambra,Yes,34.090925,-118.128164,2
Aliso Viejo,No,33.571259,-117.731917,4
Alleghany,No,39.467828,-120.841386,4
Alpaugh,Yes,35.869626,-119.498771,3
Alpaugh,No,35.869626,-119.498771,1
Alpine,Yes,32.827184,-116.703729,3
Alpine,No,32.827184,-116.703729,2
Alta,No,39.218096,-120.79153,4
Altadena,No,34.196837,-118.142236,4
Altadena,Yes,34.196837,-118.142236,1
Alturas,No,41.468877,-120.54229,3
Alturas,Yes,41.468877,-120.54229,1
Alviso,No,37.449537,-121.994813,3
Alviso,Yes,37.449537,-121.994813,1
Amador City,Yes,38.431407,-120.8421,3
Amador City,No,38.431407,-120.8421,1
Amboy,No,34.559882,-115.637164,4
Amboy,Yes,34.559882,-115.637164,1
Anaheim,No,33.807864,-117.923782,4
Anaheim,No,33.844983,-117.952151,4
Anaheim,No,33.818,-117.974404,3
Anaheim,No,33.83796,-117.870494,3
Anaheim,No,33.850452,-117.726668,3
Anaheim,No,33.830209,-117.906099,2
Anaheim,No,33.848733,-117.788357,2
Anaheim,Yes,33.830209,-117.906099,2
Anaheim,Yes,33.848733,-117.788357,2
Anaheim,Yes,33.818,-117.974404,1
Anaheim,Yes,33.83796,-117.870494,1
Anaheim,Yes,33.850452,-117.726668,1
Anderson,No,40.448632,-122.306657,2
Anderson,Yes,40.448632,-122.306657,2
Angels Camp,No,38.071327,-120.632221,2
Angels Camp,Yes,38.071327,-120.632221,2
Angelus Oaks,No,34.1678,-116.86433,3
Angelus Oaks,Yes,34.1678,-116.86433,2
Angwin,No,38.542448,-122.419923,3
Angwin,Yes,38.542448,-122.419923,1
Annapolis,No,38.731055,-123.316553,3
