City,Latitude,Longitude,Gender,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Unlimited Data,Online Security,Online Backup,Device Protection,Tech Support,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Contract,Payment Method,Offer,Referred a Friend,Number of Referrals,Monthly Charges,Total Charges,Avg Monthly Long Distance Charges,Total Long Distance Charges,Avg Monthly GB Download,Total Extra Data Charges,Total Revenue,Total Refunds,Tenure Months,CLTV,Satisfaction Score,Customer Status,Churn Label,Churn Category,Churn Reason
Los Angeles,33.964131,-118.272783,Male,No,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Mailed check,,No,0,53.85,108.15,10.47,20.94,21,0,129.09,0.0,2,3239,1,Churned,Yes,Competitor,Competitor made better offer
Los Angeles,34.059281,-118.30742,Female,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,,No,0,70.7,151.65,9.12,18.24,51,0,169.89,0.0,2,2701,2,Churned,Yes,Other,Moved
Los Angeles,34.048013,-118.293953,Female,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,,No,0,99.65,820.5,12.15,97.2,26,0,917.7,0.0,8,5372,3,Churned,Yes,Other,Moved
Los Angeles,34.062125,-118.315709,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Offer C,No,0,104.8,3046.05,4.89,136.92,47,0,3182.9700000000003,0.0,28,5003,3,Churned,Yes,Other,Moved
Los Angeles,34.039224,-118.266293,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),,No,0,103.7,5036.3,44.33,2172.17,11,0,7208.47,0.0,49,5340,1,Churned,Yes,Competitor,Competitor had better devices
Los Angeles,34.066367,-118.309868,Female,Yes,No,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,Credit card (automatic),,Yes,6,55.2,528.35,9.41,94.1,69,0,622.45,0.0,10,5925,1,Churned,Yes,Competitor,Competitor made better offer
Los Angeles,34.02381,-118.156582,Male,No,No,No,No phone service,DSL,No,No,No,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,,No,0,39.65,39.65,0.0,0.0,8,20,59.65,0.0,1,5433,3,Churned,Yes,Competitor,Competitor offered more data
Los Angeles,34.066303,-118.435479,Male,No,No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Mailed check,,No,0,20.15,20.15,33.58,33.58,0,0,53.73,0.0,1,4832,1,Churned,Yes,Competitor,Competitor made better offer
Los Angeles,34.099869,-118.326843,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,,Yes,1,99.35,4749.15,31.35,1473.45,16,0,6222.599999999999,0.0,47,5789,1,Churned,Yes,Competitor,Competitor had better devices
Los Angeles,34.089953,-118.294824,Male,Yes,No,No,No phone service,DSL,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Electronic check,,Yes,1,30.2,30.2,0.0,0.0,58,0,30.2,0.0,1,2915,1,Churned,Yes,Competitor,Competitor had better devices
Los Angeles,34.078821,-118.177576,Female,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Mailed check,,No,0,64.7,1093.1,40.55,689.3499999999999,41,0,1782.4499999999998,0.0,17,3022,1,Churned,Yes,Competitor,Competitor offered higher download speeds
Los Angeles,34.110845,-118.259595,Male,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Electronic check,,No,0,69.7,316.9,12.6,63.0,58,0,379.9,0.0,5,2454,1,Churned,Yes,Competitor,Competitor had better devices
Los Angeles,34.137412,-118.207607,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,Offer C,No,0,106.35,3549.25,21.69,737.46,28,0,4286.71,0.0,34,2941,2,Churned,Yes,Competitor,Competitor offered higher download speeds
Los Angeles,34.11572,-118.192754,Female,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),,No,0,97.85,1105.4,27.57,303.27,18,0,1408.67,0.0,11,5674,3,Churned,Yes,Competitor,Competitor offered more data
Los Angeles,33.987945,-118.370442,Female,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,No,Month-to-month,Electronic check,,No,0,80.65,144.15,5.85,11.7,19,20,175.85,0.0,2,5586,1,Churned,Yes,Competitor,Competitor had better devices
Los Angeles,33.92128,-118.274186,Female,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),,No,0,99.1,1426.4,3.96,59.4,20,0,1485.8000000000002,0.0,15,2966,1,Churned,Yes,Competitor,Competitor offered more data
Los Angeles,34.044271,-118.185237,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Credit card (automatic),Offer E,Yes,1,80.65,633.3,48.85,390.8,17,0,1024.1,0.0,8,5302,3,Churned,Yes,Competitor,Competitor made better offer
Los Angeles,34.108833,-118.229715,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,Offer D,No,0,95.45,1752.55,11.33,203.94,52,0,1910.88,45.61,18,3179,2,Churned,Yes,Competitor,Competitor made better offer
Beverly Hills,34.063947,-118.383001,Female,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,,No,0,94.4,857.25,27.21,244.89,29,0,1102.14,0.0,9,5571,3,Churned,Yes,Price,Price too high
Huntington Park,33.97803,-118.217141,Female,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,Electronic check,,No,0,79.35,79.35,13.13,13.13,57,0,92.48,0.0,1,2483,1,Churned,Yes,Competitor,Competitor had better devices
Lynwood,33.923573,-118.200669,Female,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,Bank transfer (automatic),,Yes,1,75.15,496.9,8.69,60.83,53,0,557.73,0.0,7,3457,1,Churned,Yes,Dissatisfaction,Service dissatisfaction
