City,Latitude,Longitude,Gender,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Payment Method,Monthly Charges,Total Charges,Churn Label,CLTV,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Category,Churn Reason
Los Angeles,33.964131,-118.272783,Male,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Mailed check,53.85,108.15,Yes,3239,No,0,NULL,10.47,21,No,No,Yes,0.0,0,20.94,129.09,1,Churned,Competitor,Competitor made better offer
Los Angeles,34.059281,-118.30742,Female,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,70.7,151.65,Yes,2701,No,0,NULL,9.12,51,No,No,Yes,0.0,0,18.24,169.89,2,Churned,Other,Moved
Los Angeles,34.048013,-118.293953,Female,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,99.65,820.5,Yes,5372,No,0,NULL,12.15,26,No,Yes,Yes,0.0,0,97.2,917.7,3,Churned,Other,Moved
Los Angeles,34.062125,-118.315709,Female,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,104.8,3046.05,Yes,5003,No,0,Offer C,4.89,47,Yes,Yes,Yes,0.0,0,136.92,3182.9700000000003,3,Churned,Other,Moved
Los Angeles,34.039224,-118.266293,Male,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,5340,No,0,NULL,44.33,11,No,Yes,Yes,0.0,0,2172.17,7208.47,1,Churned,Competitor,Competitor had better devices
Los Angeles,34.066367,-118.309868,Female,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Credit card (automatic),55.2,528.35,Yes,5925,Yes,6,NULL,9.41,69,Yes,No,Yes,0.0,0,94.1,622.45,1,Churned,Competitor,Competitor made better offer
Los Angeles,34.02381,-118.156582,Male,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Electronic check,39.65,39.65,Yes,5433,No,0,NULL,0.0,8,No,No,No,0.0,20,0.0,59.65,3,Churned,Competitor,Competitor offered more data
Los Angeles,34.066303,-118.435479,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.15,20.15,Yes,4832,No,0,NULL,33.58,0,No,No,No,0.0,0,33.58,53.73,1,Churned,Competitor,Competitor made better offer
Los Angeles,34.099869,-118.326843,Male,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,99.35,4749.15,Yes,5789,Yes,1,NULL,31.35,16,No,Yes,Yes,0.0,0,1473.45,6222.599999999999,1,Churned,Competitor,Competitor had better devices
Los Angeles,34.089953,-118.294824,Male,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Electronic check,30.2,30.2,Yes,2915,Yes,1,NULL,0.0,58,No,No,Yes,0.0,0,0.0,30.2,1,Churned,Competitor,Competitor had better devices
